,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
0,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:51:14,"RT @RussiaConnects: For ACCURATE reporting on #Syria follow:

@EvaKBartlett
@VanessaBeeley
@Partisangirl
@sahouraxo
@sarahabed84
@syria24me…",1
1,0.3612,0.051,0.051,0.106,@BBC,2018-07-02 01:50:41,RT @DerbyChrisW: The rightwing bias of the BBC's political commentary laid bare. Come on @BBC you can and you should do better than this. h…,2
2,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:49:17,"RT @sundayschild22: @anofiscal @MalcolmNance @CNN @MSNBC @nbc @FBI @CBSNews @ABC @BBC @NPR TO #TheResistance — Be all over this, tell every…",3
3,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:48:58,"RT @anofiscal: @sundayschild22 @MalcolmNance @CNN @MSNBC @nbc @FBI @CBSNews @ABC @BBC @NPR What Just in Time said, all the way.  Y'all need…",4
4,-0.5267,0.145,0.145,0.0,@BBC,2018-07-02 01:48:45,"RT @sundayschild22: @MalcolmNance @CNN @MSNBC @NBC @FBI @CBSNews @ABC @BBC @NPR — This is a direct threat from trump, he is inciting violen…",5
5,-0.3182,0.191,0.191,0.0,@BBC,2018-07-02 01:48:25,@PeterMcilvenna @BBC Seriously? That explains the content. It’s time the public stops paying for this… https://t.co/HcZraF3rtr,6
6,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:47:49,RT @BBC: When Natasha was 14 she had nowhere to call home. https://t.co/O5w2JzIWFh,7
7,0.5859,0.0,0.0,0.275,@BBC,2018-07-02 01:47:16,RT @BBC: ❤️ What a lovely thing to do for someone. https://t.co/goE9GEi8k0,8
8,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:45:39,"RT @BBC: Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of their decline.
#Pl…",9
9,-0.7174,0.314,0.314,0.112,@BBC,2018-07-02 01:45:16,"To be honest with you all, I really don't like @BBC because of their fake news and their bullshit about anything. https://t.co/F5V7d6yNlE",10
10,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:45:16,"RT @sobran_dass: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने #28जून_कबिरप्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",11
11,-0.0516,0.248,0.248,0.192,@BBC,2018-07-02 01:44:56,"RT @BBC: Why were these photos of the Great Depression censored using a hole punch?
https://t.co/LijCpCURdC",12
12,0.3313,0.141,0.141,0.191,@BBC,2018-07-02 01:44:30,"RT @DealingWithEvil: Best ever time for fraud women who files #FakeCases for #MoneyExtortion

What is next ????

@BJP4India @INCIndia @BJP4…",13
13,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:44:12,"RT @DealingWithEvil: #CrimeHasNoGender
Scrap #GenderBiasedLaws
bring #GenderNeutralLaw
Because #MenAreHumanToo
#MensRightAreHumanRight

@PM…",14
14,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:43:52,"RT @Raman_Ghavami: BBCFarsi correspondent deliberately mistranslates what Trump says in this video.
Trump:”Who is their(Gulf countries)bigg…",15
15,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:43:17,RT @sparkinson1768: #rarebirdalert!!! @BBC News - Cockatoo identified in 13th Century European book @HistSciArt #sciart https://t.co/Az1RVF…,16
